uuid,longitude,latitude,type,subtype,comments,start_date,end_date,alerts,duration,type_subtype,xcenter,ycenter,start_time,end_time,event
00154d47-67f4-3707-bfb2-2d8273b22c96,-43.178269,-22.935091,road_closed,road_closed_event,bloco rua fosse,2019-03-09 12:55:00,2019-03-09 18:56:00,362,-1 days +17:59:00.000000000,road_closed_road_closed_event,686804.9892785533,7462508.07164171,1552136100000.0,1552157760000.0,21
001c3369-fe14-379b-ac88-6642fcd9174f,-43.238384,-22.916187,road_closed,road_closed_event,obra via,2019-03-23 22:25:00,2019-03-26 12:18:00,3704,-3 days +10:07:00.000000000,road_closed_road_closed_event,680664.336400348,7464676.572334908,1553379900000.0,1553602680000.0,1
002a4537-dcd5-3387-9fbf-25dad0beb55b,-43.284106,-22.903672,road_closed,road_closed_event,gremio recreativo bloco carnavalesco amigos joaquim meier,2019-03-03 00:33:00,2019-03-03 00:57:00,25,-1 days +23:36:00.000000000,road_closed_road_closed_event,675990.4343022619,7466117.83761799,1551573180000.0,1551574620000.0,2
0055eebf-9850-382c-a72e-a7e65c30c5a2,-43.180564,-22.913305,road_closed,road_closed_event,bloco amo cerveja,2019-03-09 15:55:00,2019-03-09 19:56:00,242,-1 days +19:59:00.000000000,road_closed_road_closed_event,686599.4494801475,7464923.521231439,1552146900000.0,1552161360000.0,3
00835574-2d0b-3f12-8e96-b6346fb640f4,-43.252928,-22.838992,road_closed,road_closed_event,carnaval   piscinao ramos,2019-03-04 20:55:00,2019-03-04 21:44:00,50,-1 days +23:11:00.000000000,road_closed_road_closed_event,679273.7992457934,7473242.4892751835,1551732900000.0,1551735840000.0,4
00940e7c-da1b-35e0-8f54-d212357b7243,-43.196333,-22.986463,road_closed,road_closed_event,bloco mendigos,2019-02-23 17:06:00,2019-02-23 17:06:00,1,0 days 00:00:00.000000000,road_closed_road_closed_event,684882.3449963708,7456842.110078143,1550941560000.0,1550941560000.0,5
00955bd3-0c4f-3857-aba5-7c3d1d37c115,-43.185589,-22.945926,road_closed,road_closed_event,bloco boka espuma,2019-03-11 01:06:00,2019-03-11 01:08:00,3,-1 days +23:58:00.000000000,road_closed_road_closed_event,686039.386413934,7461317.514507926,1552266360000.0,1552266480000.0,6
009636eb-e4a5-39a3-8d3c-bf800124e4b7,-43.184182,-22.946073,road_closed,road_closed_event,bloco boka espuma,2019-03-10 18:55:00,2019-03-11 00:58:00,364,-1 days +17:57:00.000000000,road_closed_road_closed_event,686183.4848356794,7461299.4532223735,1552244100000.0,1552265880000.0,6
00a8c37c-e726-3f6b-8749-efdad4581670,-43.176799,-22.914209,road_closed,road_closed_event,corrida rio antigo   lapa,2019-03-24 16:17:00,2019-03-24 16:19:00,3,-1 days +23:58:00.000000000,road_closed_road_closed_event,686984.4346161713,7464818.63255378,1553444220000.0,1553444340000.0,7
00a9a541-d397-3452-9672-3c4c85db60dd,-43.18632,-22.974029,road_closed,road_closed_event,reveillon,2018-12-31 18:28:00,2018-12-31 19:27:00,60,-1 days +23:01:00.000000000,road_closed_road_closed_event,685925.9750509162,7458206.369921342,1546280880000.0,1546284420000.0,8
00c20e21-bd69-3472-b41b-af0ee2bb7897,-43.290864,-22.903809,road_closed,road_closed_event,banda mackenzie,2019-03-02 20:58:00,2019-03-02 22:56:00,119,-1 days +22:02:00.000000000,road_closed_road_closed_event,675296.9801770546,7466110.734059257,1551560280000.0,1551567360000.0,9
00c8bc4f-f4a9-367e-9bf4-90a1fe0cd8f9,-43.197848,-22.916644,road_closed,road_closed_event,desfile campeas,2019-03-09 22:22:00,2019-03-10 14:56:00,995,-1 days +07:26:00.000000000,road_closed_road_closed_event,684821.8785694746,7464575.594762214,1552170120000.0,1552229760000.0,10
00cd4b6b-73c2-3d68-a921-4cbd1b050fab,-43.311228,-22.842634,road_closed,road_closed_event,bloco carnavalesco fala bobagem,2019-02-24 16:55:00,2019-02-24 22:58:00,350,-1 days +17:57:00.000000000,road_closed_road_closed_event,673285.5559163665,7472908.863486361,1551027300000.0,1551049080000.0,11
00ead283-1a92-3b27-b117-594a5d072840,-43.174107,-22.965539,road_closed,road_closed_event,reveillon,2019-01-01 17:37:00,2019-01-01 18:36:00,60,-1 days +23:01:00.000000000,road_closed_road_closed_event,687189.9596747071,7459131.011382973,1546364220000.0,1546367760000.0,8
00fea4bb-850b-34bc-bb84-f51df7098d1d,-43.321263,-22.888749,road_closed,road_closed_event,gremio recreativo bloco carnavalesco alegria quintin,2019-03-03 19:55:00,2019-03-03 22:59:00,185,-1 days +20:56:00.000000000,road_closed_road_closed_event,672197.4999708425,7467814.244965855,1551642900000.0,1551653940000.0,12
0100fb7e-2f11-3860-ac1a-1e19ab1d9b01,-43.175613,-22.911795,road_closed,road_closed_event,corrida rio antigo   lapa,2019-03-24 16:17:00,2019-03-24 16:18:00,2,-1 days +23:59:00.000000000,road_closed_road_closed_event,687109.4127321762,7465084.44544523,1553444220000.0,1553444280000.0,7
0101e1a9-9632-3202-bc39-bc6ee6ce9338,-43.253068,-22.838829,road_closed,road_closed_event,carnaval   piscinao ramos,2019-03-03 20:57:00,2019-03-04 04:56:00,480,-1 days +16:01:00.000000000,road_closed_road_closed_event,679259.6438451763,7473260.708973005,1551646620000.0,1551675360000.0,4
01043f49-b3f4-32e7-b283-10aa639fe7b7,-43.247032,-22.915975,road_closed,road_closed_event,bloco cultural   paus,2019-03-10 18:55:00,2019-03-11 00:58:00,364,-1 days +17:57:00.000000000,road_closed_road_closed_event,679777.5169974943,7464710.645792877,1552244100000.0,1552265880000.0,13
010d76c5-e327-30af-bbb5-b3d97e29e091,-43.219301,-22.914462,weatherhazard,no_subtype,bloco urubuzada   desfile oficial,2019-02-18 06:13:00,2019-02-18 06:58:00,46,-1 days +23:15:00.000000000,weatherhazard_no_subtype,682624.165140154,7464844.022065507,1550470380000.0,1550473080000.0,14
0116f57b-6686-37ca-a604-bdfba4d20b7d,-43.255094,-22.943564,road_closed,road_closed_event,bloco chora,2019-03-02 21:55:00,2019-03-03 00:57:00,183,-1 days +20:58:00.000000000,road_closed_road_closed_event,678914.2702020414,7461665.417601685,1551563700000.0,1551574620000.0,15
012be035-0def-338f-9256-e2ea76a31370,-43.18632,-22.974029,road_closed,road_closed_event,reveillon,2018-12-31 22:30:00,2018-12-31 23:29:00,60,-1 days +23:01:00.000000000,road_closed_road_closed_event,685925.9750509162,7458206.369921342,1546295400000.0,1546298940000.0,8
01551525-4a38-374a-80f6-9dcb731ffbb3,-43.311944,-22.841458,road_closed,road_closed_event,bloco carnavalesco fala bobagem,2019-02-24 21:30:00,2019-02-24 22:29:00,49,-1 days +23:01:00.000000000,road_closed_road_closed_event,673213.5616774026,7473039.924389949,1551043800000.0,1551047340000.0,11
017dfe2e-5178-3592-9a8b-42b09c301f24,-43.175001,-22.913108,road_closed,road_closed_event,corrida rio antigo   lapa,2019-03-24 07:56:00,2019-03-24 15:58:00,483,-1 days +15:58:00.000000000,road_closed_road_closed_event,687170.3907529055,7464938.267919435,1553414160000.0,1553443080000.0,7
018dbe95-8aa6-3910-a69a-c54db8f34302,-43.251905,-22.842058,road_closed,road_closed_event,obras brt transbrasil,2019-03-26 12:18:00,2019-03-31 23:56:00,7877,-6 days +12:22:00.000000000,road_closed_road_closed_event,679374.7740563311,7472901.736197987,1553602680000.0,1554076560000.0,4
019a664e-d1cd-33aa-b7fa-7255bb857fa7,-43.17822,-22.95031,weatherhazard,no_subtype,atencao mao inglesa mantenhase a esquerda,2019-03-07 10:05:00,2019-03-07 13:06:00,182,-1 days +20:59:00.000000000,weatherhazard_no_subtype,686789.1192735145,7460822.685579913,1551953100000.0,1551963960000.0,16
