event,xcenter,ycenter,total_points,type,start_time,end_time,area,duration
1,660979.1487504008,7467827.476203037,137,ROAD_CLOSED,1549299180000.0,1549504560000.0,302.3210096052564,57050.0
2,669437.9913742418,7468669.203184267,42,ROAD_CLOSED,1549407300000.0,1549418280000.0,200172.2049263815,3050.0
3,678811.5044142823,7473439.258662918,33,ROAD_CLOSED,1549108560000.0,1550620560000.0,2059.58087108783,420000.0
4,669951.4382242288,7460508.350941765,12,ROAD_CLOSED,1549392900000.0,1549410960000.0,90.352256105412,5016.666666666667
5,682480.8428319062,7467661.851820991,39,ROAD_CLOSED,1549362660000.0,1551398160000.0,17126.801580511794,565416.6666666666
6,679788.2075468538,7470446.755971184,45,ROAD_CLOSED,1549464480000.0,1549466940000.0,55703.14555432085,683.3333333333334
7,680935.6521432671,7455945.202406237,28,ROAD_CLOSED,1549502220000.0,1549659480000.0,2261.3604482854425,43683.333333333336
8,680648.282570598,7455737.568638006,25,ROAD_CLOSED,1549793700000.0,1549946580000.0,42682.44013679016,42466.666666666664
9,675774.4614930511,7458357.343412276,12,ROAD_CLOSED,1549533720000.0,1549547880000.0,992.5690068933712,3933.3333333333335
10,684847.0483855127,7466090.374729467,24,ROAD_CLOSED,1549411020000.0,1550188560000.0,47083.869303526626,215983.33333333334
11,677842.2800244361,7455477.052202575,14,ROAD_CLOSED,1549712700000.0,1549727880000.0,8011.551482825411,4216.666666666667
12,673261.0103630734,7454711.908868306,12,ROAD_CLOSED,1549579920000.0,1549659420000.0,1.1604987776081543e-05,22083.333333333332
13,681229.1444729283,7456189.228531018,11,ROAD_CLOSED,1549718880000.0,1549722360000.0,167456.80881623307,966.6666666666666
14,681544.399990073,7456817.563357127,12,ROAD_CLOSED,1549584480000.0,1549626960000.0,23114.245579190545,11800.0
15,665080.1565274795,7464487.446225155,16,ROAD_CLOSED,1550065620000.0,1550084160000.0,2410.7308046369776,5150.0
16,680619.8524097642,7455716.736313197,58,ROAD_CLOSED,1549965840000.0,1550479320000.0,42682.44024604216,142633.33333333334
17,668027.9354139325,7473700.740774385,11,ROAD_CLOSED,1549453800000.0,1550620560000.0,3713.001296762398,324100.0
18,678890.6412241169,7455543.941108902,27,ROAD_CLOSED,1550069760000.0,1550482020000.0,22654.338800333557,114516.66666666667
19,669907.9100310237,7470095.338263944,20,ROAD_CLOSED,1550326020000.0,1550326560000.0,29151.167954641867,150.0
20,684247.1276456495,7456931.834421259,23,ROAD_CLOSED,1550339700000.0,1550359320000.0,219931.44248152076,5450.0
21,681419.6299841803,7464879.656907101,20,ROAD_CLOSED,1550422500000.0,1550447760000.0,169762.2111352341,7016.666666666667
22,687237.1748384337,7465885.168065978,20,ROAD_CLOSED,1550368500000.0,1550419140000.0,39836.17087473106,14066.666666666666
23,680103.1873427726,7462718.188164764,14,ROAD_CLOSED,1550339700000.0,1550361360000.0,70515.06430484103,6016.666666666667
24,658162.7024806708,7471272.911793132,194,ROAD_CLOSED,1550775900000.0,1551398160000.0,4512.198342574934,172850.0
25,685029.5433642592,7456946.080513175,20,ROAD_CLOSED,1550922900000.0,1550941560000.0,51689.816034764954,5183.333333333333
26,669897.582531712,7470098.46751473,78,ROAD_CLOSED,1551020220000.0,1551059760000.0,241747.33644381238,10983.333333333334
27,673252.447449783,7473003.752214223,38,ROAD_CLOSED,1551027300000.0,1551049140000.0,10526.689910026354,6066.666666666667
28,668830.857788852,7471057.333670474,36,ROAD_CLOSED,1550937300000.0,1550959980000.0,21412.90013197575,6300.0
