uuid,longitude,latitude,start_date,end_date,type,subtype,comments,nthumbsup,reliability,reportrating,confidence,duration,xcenter,ycenter,start_time,end_time,event
004a3dc7-02fe-3848-ba0d-4d59e42f8cae,-43.430163,-22.890133000000024,2019-02-04 19:44:00,2019-02-04 20:43:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:59:00,661023.3493923844,7467784.222356685,1549309440000.0,1549312980000.0,1
01c10b8a-c5ce-3613-ac45-728dab8d4eb1,-43.43059099999999,-22.88975899999999,2019-02-05 04:48:00,2019-02-05 05:47:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:59:00,660979.8816354556,7467826.102385852,1549342080000.0,1549345620000.0,1
04415fd7-5a79-347c-8a66-1ab507246ff1,-43.43100499999997,-22.889379999999992,2019-02-04 16:53:00,2019-02-04 17:42:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:49:00,660937.8558213257,7467868.520608269,1549299180000.0,1549302120000.0,1
04fbbb09-3695-30ad-8434-3cb64a0d99da,-43.430163,-22.890133000000024,2019-02-05 15:39:00,2019-02-05 16:38:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:59:00,661023.3493923844,7467784.222356685,1549381140000.0,1549384680000.0,1
05583450-b36d-35e8-aa65-41f59a288e5b,-43.35063300000001,-22.879553999999995,2019-02-05 22:55:00,2019-02-05 23:22:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,“ENSAIO TÉCNICO DO G.R.E.S. TRADIÇÃO”.(198919),0.0,6.0,0,0.0,0 days 00:27:00,669195.6650087025,7468866.457906382,1549407300000.0,1549408920000.0,2
061c7dc3-3ae5-35ab-aee4-49a5ec33ad04,-43.43100499999996,-22.88938000000001,2019-02-04 23:46:00,2019-02-05 00:45:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:59:00,660937.8558213268,7467868.520608268,1549323960000.0,1549327500000.0,1
09cede98-5d41-3d7b-ba31-5e1982eaa7f8,-43.431407999999465,-22.888983000000426,2019-02-04 18:58:00,2019-02-05 11:28:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 16:30:00,660896.9795116277,7467912.919769337,1549306680000.0,1549366080000.0,1
0a1486fa-8055-31e6-ae2d-7983021014a6,-43.430163,-22.890132999999995,2019-02-04 18:58:00,2019-02-04 19:43:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:45:00,661023.3493923845,7467784.222356687,1549306680000.0,1549309380000.0,1
0bd15f63-1614-3174-b4a0-251cdd182a79,-43.43059100000002,-22.889759000000005,2019-02-05 16:39:00,2019-02-05 16:55:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:16:00,660979.8816354523,7467826.102385849,1549384740000.0,1549385700000.0,1
0ca20558-2414-352b-ae2f-25fc4eefd6a6,-43.430163,-22.890133000000024,2019-02-05 07:49:00,2019-02-05 08:48:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:59:00,661023.3493923844,7467784.222356685,1549352940000.0,1549356480000.0,1
0dd717ba-af14-3a97-ad1f-32754b6125a7,-43.43059099999999,-22.88975899999999,2019-02-05 08:49:00,2019-02-05 09:49:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 01:00:00,660979.8816354556,7467826.102385852,1549356540000.0,1549360140000.0,1
0e7508ee-fcf2-354e-80f7-35ccf0f10960,-43.430591000000035,-22.889759000000016,2019-02-05 22:36:00,2019-02-05 23:22:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:46:00,660979.8816354503,7467826.102385849,1549406160000.0,1549408920000.0,1
12af592d-6791-3861-adf3-b390a03679ae,-43.350537,-22.879588000000005,2019-02-05 23:48:00,2019-02-05 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,“ENSAIO TÉCNICO DO G.R.E.S. TRADIÇÃO”.(198919),0.0,6.0,0,0.0,0 days 00:08:00,669205.47265846,7468862.58280234,1549410480000.0,1549410960000.0,2
134e880e-139b-3ddf-a7ed-c427162e826a,-43.43100499999996,-22.88938000000001,2019-02-04 17:43:00,2019-02-04 18:42:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:59:00,660937.8558213268,7467868.520608268,1549302180000.0,1549305720000.0,1
13d7a82c-eb44-3d34-ab8c-d94cfac1ad56,-43.43100499999996,-22.88938000000001,2019-02-05 14:38:00,2019-02-05 15:38:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 01:00:00,660937.8558213268,7467868.520608268,1549377480000.0,1549381080000.0,1
14d20383-10a2-3dd5-85a2-215bd9c37d77,-43.43059099999999,-22.88975899999999,2019-02-04 17:43:00,2019-02-04 18:42:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:59:00,660979.8816354556,7467826.102385852,1549302180000.0,1549305720000.0,1
1a310f7a-063b-3422-815d-b874651d57b2,-43.430163,-22.890133000000034,2019-02-05 11:29:00,2019-02-05 12:35:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 01:06:00,661023.3493923843,7467784.222356685,1549366140000.0,1549370100000.0,1
1b860808-def8-3271-91dc-4578874a6cef,-43.43100499999997,-22.889379999999985,2019-02-04 18:58:00,2019-02-04 19:43:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:45:00,660937.8558213257,7467868.520608269,1549306680000.0,1549309380000.0,1
1ce765c5-83ca-33ee-a447-ea4f9f2c9827,-43.344923000000016,-22.882882000000002,2019-02-05 22:55:00,2019-02-05 23:22:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,“ENSAIO TÉCNICO DO G.R.E.S. TRADIÇÃO”.(198916),0.0,6.0,0,0.0,0 days 00:27:00,669777.3833492816,7468491.376543128,1549407300000.0,1549408920000.0,2
2066f712-907f-3518-acf5-f53cf08d604d,-43.430163,-22.890133000000024,2019-02-05 12:36:00,2019-02-05 13:37:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 01:01:00,661023.3493923844,7467784.222356685,1549370160000.0,1549373820000.0,1
21ac5ddb-6888-319c-83f2-5e79ded513c4,-43.43100499999996,-22.88938000000001,2019-02-04 21:45:00,2019-02-04 22:44:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:59:00,660937.8558213268,7467868.520608268,1549316700000.0,1549320240000.0,1
2337dac0-38fa-32b6-a325-9fc8b4ce1804,-43.43059099999999,-22.88975899999999,2019-02-05 12:37:00,2019-02-05 13:37:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 01:00:00,660979.8816354556,7467826.102385852,1549370220000.0,1549373820000.0,1
23539f8e-d53b-3433-8365-a16c7d7dc3cc,-43.25676400000194,-22.83771100000012,2019-02-03 06:55:00,2019-02-05 11:29:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Obras BRT Transbrasil,0.0,6.0,0,0.0,2 days 04:34:00,678881.7625600118,7473388.994959078,1549176900000.0,1549366140000.0,3
25a11a83-58bd-32cd-b935-daad4f09f708,-43.34233799999999,-22.954298,2019-02-05 23:48:00,2019-02-05 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,casa dos partideiros.(199409),0.0,6.0,0,0.0,0 days 00:08:00,669953.4823805884,7460580.4232885325,1549410480000.0,1549410960000.0,4
26d72cb5-54a7-3cba-bd7a-8f030a5f2ab8,-43.429734,-22.890543000000005,2019-02-05 23:48:00,2019-02-05 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:08:00,661066.8769942282,7467738.35490635,1549410480000.0,1549410960000.0,1
26e6e869-8fb3-3cfa-967e-ec3ff1ec1ac5,-43.431005000000006,-22.88938,2019-02-04 18:43:00,2019-02-04 18:57:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:14:00,660937.855821321,7467868.520608268,1549305780000.0,1549306620000.0,1
2826e72b-0253-3fb7-8358-241f094f2762,-43.34895800000002,-22.87996499999998,2019-02-05 22:55:00,2019-02-05 23:22:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,“ENSAIO TÉCNICO DO G.R.E.S. TRADIÇÃO”.(198918),0.0,6.0,0,0.0,0 days 00:27:00,669367.013536029,7468819.022749259,1549407300000.0,1549408920000.0,2
28c3e425-b9bb-311b-aa00-5e8e2f430f6b,-43.34234399999996,-22.95495500000001,2019-02-05 22:36:00,2019-02-05 23:22:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,casa dos partideiros.(199409),0.0,6.0,0,0.0,0 days 00:46:00,669952.0459998907,7460507.679609258,1549406160000.0,1549408920000.0,4
2b0fd0fa-5242-3193-9e83-e8b2e6be050c,-43.348958,-22.879965,2019-02-05 23:48:00,2019-02-05 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,“ENSAIO TÉCNICO DO G.R.E.S. TRADIÇÃO”.(198918),0.0,6.0,0,0.0,0 days 00:08:00,669367.0135360311,7468819.022749257,1549410480000.0,1549410960000.0,2
2d082892-7c1a-3b65-86c6-bc53d3340b31,-43.430163,-22.890132999999995,2019-02-05 23:48:00,2019-02-05 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS.(159816),0.0,6.0,0,0.0,0 days 00:08:00,661023.3493923845,7467784.222356687,1549410480000.0,1549410960000.0,1
31bb964f-ae4b-3cf9-b16f-a6f5d75098be,-43.430163,-22.890133000000024,2019-02-04 23:46:00,2019-02-05 00:45:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,OBRAS EMERGENCIAIS,0.0,6.0,0,0.0,0 days 00:59:00,661023.3493923844,7467784.222356685,1549323960000.0,1549327500000.0,1
